"","sim","method","metric","observed","value","n","N"
"409",51,"FiTree","mae","observed",0.549289237077616,5,200
"410",51,"FiTree","mae","recoverable",0.430184643759507,5,200
"411",51,"FiTree","sign","observed",0.5,5,200
"412",51,"FiTree","sign","recoverable",0.411764705882353,5,200
"413",51,"Diffusion","mae","observed",0.669444700853823,5,200
"414",51,"Diffusion","mae","recoverable",2.75099425858888,5,200
"415",51,"Diffusion","sign","observed",0.5,5,200
"416",51,"Diffusion","sign","recoverable",0.529411764705882,5,200
"417",52,"FiTree","mae","observed",0.102160362810922,5,200
"418",52,"FiTree","mae","recoverable",0.128233333629106,5,200
"419",52,"FiTree","sign","observed",0.727272727272727,5,200
"420",52,"FiTree","sign","recoverable",0.6,5,200
"421",52,"Diffusion","mae","observed",0.719191361711954,5,200
"422",52,"Diffusion","mae","recoverable",0.73445488346433,5,200
"423",52,"Diffusion","sign","observed",0.545454545454545,5,200
"424",52,"Diffusion","sign","recoverable",0.466666666666667,5,200
"425",53,"FiTree","mae","observed",0.0343624451486378,5,200
"426",53,"FiTree","mae","recoverable",0.163664942347022,5,200
"427",53,"FiTree","sign","observed",0.625,5,200
"428",53,"FiTree","sign","recoverable",0.4,5,200
"429",53,"Diffusion","mae","observed",0.491849642255904,5,200
"430",53,"Diffusion","mae","recoverable",3.37967671243733,5,200
"431",53,"Diffusion","sign","observed",0.5,5,200
"432",53,"Diffusion","sign","recoverable",0.4,5,200
"433",54,"FiTree","mae","observed",0.104976114845404,5,200
"434",54,"FiTree","mae","recoverable",0.155623365718781,5,200
"435",54,"FiTree","sign","observed",0.5,5,200
"436",54,"FiTree","sign","recoverable",0.6,5,200
"437",54,"Diffusion","mae","observed",0.491976732845224,5,200
"438",54,"Diffusion","mae","recoverable",0.690746890321305,5,200
"439",54,"Diffusion","sign","observed",0.5,5,200
"440",54,"Diffusion","sign","recoverable",0.4,5,200
"441",55,"FiTree","mae","observed",0.055453457926949,5,200
"442",55,"FiTree","mae","recoverable",0.113863413551583,5,200
"443",55,"FiTree","sign","observed",0.666666666666667,5,200
"444",55,"FiTree","sign","recoverable",0.466666666666667,5,200
"445",55,"Diffusion","mae","observed",0.288914046263249,5,200
"446",55,"Diffusion","mae","recoverable",0.401778386723444,5,200
"447",55,"Diffusion","sign","observed",0.555555555555556,5,200
"448",55,"Diffusion","sign","recoverable",0.533333333333333,5,200
"449",56,"FiTree","mae","observed",0.122972142104373,5,200
"450",56,"FiTree","mae","recoverable",0.124022013640263,5,200
"451",56,"FiTree","sign","observed",0.833333333333333,5,200
"452",56,"FiTree","sign","recoverable",0.6875,5,200
"453",56,"Diffusion","mae","observed",0.424730611401249,5,200
"454",56,"Diffusion","mae","recoverable",0.479189783806032,5,200
"455",56,"Diffusion","sign","observed",0.5,5,200
"456",56,"Diffusion","sign","recoverable",0.5,5,200
"457",57,"FiTree","mae","observed",0.226271233356963,5,200
"458",57,"FiTree","mae","recoverable",0.225930250988193,5,200
"459",57,"FiTree","sign","observed",0.916666666666667,5,200
"460",57,"FiTree","sign","recoverable",0.764705882352941,5,200
"461",57,"Diffusion","mae","observed",0.406363646079725,5,200
"462",57,"Diffusion","mae","recoverable",0.459196704472747,5,200
"463",57,"Diffusion","sign","observed",0.833333333333333,5,200
"464",57,"Diffusion","sign","recoverable",0.647058823529412,5,200
"465",58,"FiTree","mae","observed",0.0785339311082223,5,200
